#  0. Tycho ID.
#  1. Parallax value [mas].
#  2. Parallax error [mas].
#  3. Johnson U magnitude [mag].
#  4. Johnson B magnitude [mag].
#  5. Johnson V magnitude [mag].
#  6. Cousins R magnitude [mag].
#  7. Cousins I magnitude [mag].
#  8. 2MASS J magnitude [mag].
#  9. 2MASS H magnitude [mag].
# 10. 2MASS K magnitude [mag].
# 11. Error Johnson U magnitude [mag].
# 12. Error Johnson B magnitude [mag].
# 13. Error Johnson V magnitude [mag].
# 14. Error Cousins R magnitude [mag].
# 15. Error Cousins I magnitude [mag].
# 16. Error 2MASS J magnitude [mag].
# 17. Error 2MASS H magnitude [mag].
# 18. Error 2MASS K magnitude [mag].
308-230-1,2.293,0.282,11.088,11.083,10.584,10.28,9.978,9.607,9.384,9.291,0.0082,0.0016,0.0016,0.0016,0.0016,0.026,0.027,0.021
326-1010-1,1.485,0.48,12.016,11.931,11.599,11.403,11.209,10.889,10.811,10.769,0.0019,0.005,0.005,0.005,0.005,0.023,0.027,0.026
351-369-1,1.321,0.908,12.149,11.319,10.245,9.67,9.143,8.33,7.776,7.633,0.001,0.0014,0.0005,0.0009,0.0018,0.019,0.046,0.021
447-96-1,2.302,0.386,13.471,12.967,11.944,11.292,10.566,9.664,9.417,9.254,0.004,0.0013,0.0027,0.0027,0.0022,0.023,0.025,0.022
447-98-1,2.672,0.244,11.788,11.678,11.122,10.797,10.462,10.005,9.836,9.769,0.002,0.0006,0.0006,0.0006,0.0007,0.021,0.021,0.019
447-246-1,1.514,0.307,13.363,12.724,11.737,11.137,10.464,9.53,9.285,9.135,0.007,0.003,0.003,0.003,0.003,0.021,0.021,0.021
447-268-1,2.523,0.307,13.392,13.245,12.516,12.077,11.627,10.976,10.721,10.62,0.0022,0.003,0.003,0.003,0.003,0.026,0.026,0.019
447-304-1,3.302,0.221,11.939,11.88,11.312,10.977,10.66,10.209,9.988,9.925,0.0017,0.002,0.002,0.002,0.0036,0.037,0.021,0.021
447-387-1,1.563,0.239,12.95,12.444,11.773,11.4,10.965,10.356,10.215,10.117,0.0037,0.003,0.003,0.003,0.003,0.021,0.021,0.021
447-460-1,2.251,0.508,14.246,13.17,11.861,11.119,10.418,9.36,8.781,8.632,0.011,0.011,0.011,0.011,0.011,0.026,0.051,0.029
478-1348-1,-0.582,0.483,14.511,12.489,10.748,9.783,8.885,7.512,6.699,6.401,0.006,0.001,0.001,0.001,0.001,0.021,0.026,0.024
478-1575-1,2.27,0.349,8.959,9.174,8.965,8.844,8.7,8.525,8.558,8.439,0.002,0.0009,0.0009,0.0009,0.0009,0.029,0.044,0.022
479-1283-1,0.291,0.383,14.994,13.129,11.419,10.468,9.589,8.234,7.444,7.181,0.0084,0.0032,0.0018,0.0018,0.0018,0.026,0.024,0.027
479-1376-1,0.927,0.388,14.647,12.341,10.382,9.205,7.982,6.36,5.441,5.109,0.0043,0.0017,0.0017,0.0017,0.0017,0.023,0.021,0.02
511-1680-1,0.878,0.957,14.944,12.953,11.352,10.454,9.551,8.341,7.502,7.296,0.0025,0.0014,0.0014,0.0014,0.0014,0.021,0.042,0.026
511-2062-1,2.537,0.78,12.409,11.115,9.905,9.257,8.688,7.791,7.197,7.058,0.0016,0.0004,0.0001,0.0004,0.0007,0.029,0.036,0.024
511-2229-1,2.253,0.768,11.888,11.878,11.424,11.151,10.877,10.503,10.309,10.212,0.002,0.0007,0.0007,0.0007,0.0007,0.022,0.024,0.021
543-227-1,3.355,0.396,10.457,10.456,10.003,9.724,9.439,9.117,8.848,8.822,0.002,0.0004,0.0004,0.0004,0.0006,0.024,0.034,0.023
543-262-1,1.739,0.622,12.203,11.362,10.304,9.736,9.207,8.401,7.875,7.751,0.0012,0.0003,0.0004,0.0004,0.0004,0.024,0.046,0.021
543-1049-1,3.182,0.803,11.693,11.75,11.224,10.921,10.606,10.149,9.87,9.847,0.006,0.0035,0.0035,0.0023,0.0035,0.022,0.022,0.024
543-1668-1,1.999,0.988,12.945,12.553,11.767,11.337,10.943,10.413,10.038,9.97,0.0035,0.0039,0.0039,0.0039,0.0039,0.023,0.022,0.023
548-105-1,37.51,4.41,11.942,12.732,12.743,12.839,12.938,13.203,13.286,13.397,0.0016,0.0004,0.0006,0.0006,0.0017,0.024,0.037,0.037
568-923-1,5.203,0.386,11.416,11.479,10.909,10.596,10.287,9.891,9.654,9.589,0.0018,0.0009,0.0009,0.0009,0.0009,0.027,0.022,0.023
568-1416-1,2.584,0.646,12.667,12.489,11.833,11.465,11.122,10.652,10.419,10.333,0.0044,0.0036,0.0008,0.0014,0.0036,0.024,0.022,0.026
568-1711-1,2.771,0.412,12.577,10.724,9.239,8.439,7.718,6.618,5.946,5.734,0.003,0.0008,0.001,0.001,0.001,0.021,0.029,0.018
577-85-1,13.062,0.502,7.366,7.56,7.18,7.546,7.761,6.366,6.184,6.1,0.032,0.01,0.01,0.02,0.032,0.026,0.031,0.02
586-132-1,2.58,0.847,12.221,11.459,10.431,9.867,9.332,8.522,7.948,7.851,0.002,0.0006,0.0006,0.0006,0.0006,0.021,0.024,0.021
586-610-1,169.092,0.383,11.532,10.427,8.993,8.029,6.946,5.827,5.282,5.043,0.0017,0.0011,0.0012,0.0012,0.0011,0.023,0.031,0.02
586-979-1,4.19,0.525,10.411,10.305,9.693,9.339,8.991,8.517,8.259,8.138,0.001,0.0005,0.0005,0.0005,0.0005,0.02,0.044,0.021
722-455-1,171.55,3.99,14.264,13.13,11.509,10.298,8.709,7.124,6.627,6.389,0.007,0.0024,0.001,0.003,0.004,0.021,0.018,0.016
849-123-1,1.651,0.802,13.774,12.882,11.878,11.358,10.866,10.233,9.741,9.554,0.014,0.007,0.026,0.035,0.035,0.027,0.026,0.027
1301-1941-1,1.09,2.04,5.823,6.103,6.06,6.037,6.05,5.964,6.022,6.016,0.03,0.037,0.01,0.1,0.15,0.019,0.021,0.027
1448-282-1,0.688,0.395,12.965,12.93,12.16,11.668,11.186,10.467,10.005,9.935,0.007,0.29,0.19,0.002,0.002,0.02,0.019,0.018
2162-49-1,1.759,0.251,12.052,11.875,11.209,10.906,10.563,10.133,9.914,9.821,0.101,0.1,0.1,0.1,0.1,0.022,0.022,0.018
2162-1036-1,2.613,0.264,11.155,11.06,10.627,10.381,10.084,9.76,9.577,9.529,0.101,0.04,0.1,0.1,0.1,0.021,0.022,0.017
2902-2791-1,0.991,0.257,11.841,11.77,11.531,11.387,11.218,10.909,10.881,10.812,0.0007,0.0012,0.0007,0.0058,0.0054,0.02,0.015,0.021
2953-1150-1,1.291,0.227,12.769,11.849,10.732,10.133,9.588,8.719,8.239,8.042,0.0006,0.001,0.0011,0.0009,0.0008,0.024,0.069,0.026
2953-1187-1,3.458,0.221,10.104,9.954,9.371,9.032,8.716,8.271,8.013,7.977,0.0006,0.001,0.0011,0.001,0.0009,0.041,0.031,0.018
2953-1248-1,1.001,0.259,13.015,12.171,11.089,10.51,9.964,9.128,8.63,8.476,0.001,0.0005,0.0011,0.0009,0.0008,0.019,0.024,0.018
2953-1251-1,3.591,0.217,11.145,11.141,10.632,10.309,9.981,9.531,9.267,9.186,0.0008,0.001,0.0011,0.001,0.0009,0.026,0.029,0.019
